rank,risk_category,ticker,composite_percentile,num_factors,percentile_ml_forecast,percentile_kalman_signal_strength,percentile_cvar
1,LOW,AGVT.AX,90.27777777777779,3,94.44444444444444,87.5,88.88888888888889
2,LOW,GIVE.AX,88.88888888888887,3,100.0,70.83333333333333,95.83333333333333
3,LOW,XGOV.AX,87.96296296296298,3,98.61111111111111,100.0,65.27777777777777
4,LOW,YMAX.AX,85.64814814814815,3,97.22222222222221,61.11111111111111,98.61111111111111
5,LOW,GOVT.AX,77.77777777777777,3,81.94444444444444,88.88888888888889,62.5
6,LOW,BNDS.AX,76.3888888888889,3,79.16666666666666,80.55555555555556,69.44444444444444
7,LOW,IGB.AX,75.46296296296298,3,84.72222222222221,75.0,66.66666666666667
8,LOW,RGB.AX,75.46296296296296,3,95.83333333333333,91.66666666666666,38.88888888888889
9,LOW,IAF.AX,72.68518518518518,3,75.0,93.05555555555556,50.0
10,LOW,5GOV.AX,71.75925925925925,3,93.05555555555556,81.94444444444444,40.27777777777778
11,LOW,VGB.AX,70.83333333333333,3,83.33333333333333,69.44444444444444,59.72222222222222
12,LOW,DGGF.AX,70.37037037037037,3,80.55555555555556,33.33333333333333,97.22222222222223
13,LOW,BOND.AX,69.9074074074074,3,76.38888888888889,79.16666666666666,54.16666666666667
14,LOW,SKUK.AX,69.21296296296296,3,19.444444444444443,96.52777777777777,91.66666666666667
15,LOW,IHHY.AX,68.05555555555556,3,20.833333333333332,98.61111111111111,84.72222222222223
16,LOW,AYLD.AX,68.05555555555556,3,40.27777777777778,90.27777777777777,73.61111111111111
17,LOW,AEBD.AX,67.12962962962963,3,86.11111111111111,77.77777777777777,37.5
18,LOW,MVOL.AX,64.81481481481482,3,91.66666666666666,9.722222222222221,93.05555555555556
19,LOW,EEU.AX,64.35185185185185,3,54.166666666666664,56.94444444444444,81.94444444444444
20,LOW,VAF.AX,63.88888888888889,3,77.77777777777777,72.22222222222221,41.66666666666667
21,LOW,OZBD.AX,63.425925925925924,3,87.5,73.61111111111111,29.16666666666667
22,LOW,USHY.AX,61.11111111111111,3,29.166666666666664,66.66666666666666,87.5
23,LOW,DBBF.AX,59.72222222222222,3,88.88888888888889,15.277777777777777,75.0
24,LOW,1GOV.AX,57.870370370370374,3,68.05555555555556,84.72222222222221,20.833333333333343
25,LOW,CRED.AX,57.87037037037036,3,90.27777777777777,52.77777777777778,30.555555555555557
26,LOW,RSM.AX,56.944444444444436,3,73.61111111111111,54.166666666666664,43.05555555555556
27,LOW,PLUS.AX,55.55555555555555,3,72.22222222222221,37.5,56.94444444444444
28,LOW,RCB.AX,55.09259259259259,3,70.83333333333333,47.22222222222222,47.22222222222222
29,LOW,ICOR.AX,54.62962962962962,3,66.66666666666666,65.27777777777777,31.944444444444443
30,LOW,UTIP.AX,53.7037037037037,3,62.5,26.38888888888889,72.22222222222223
31,LOW,ILB.AX,52.77777777777777,3,65.27777777777777,31.944444444444443,61.111111111111114
32,LOW,IEAT.AX,50.46296296296296,3,4.166666666666666,56.94444444444444,90.27777777777777
33,LOW,IBAL.AX,49.074074074074076,3,9.722222222222221,86.11111111111111,51.38888888888889
34,LOW,IHCB.AX,49.074074074074076,3,48.61111111111111,20.833333333333332,77.77777777777777
35,LOW,CIIH.AX,48.84259259259259,3,59.02777777777778,59.72222222222222,27.777777777777786
36,LOW,VDBA.AX,48.61111111111111,3,18.055555555555554,48.61111111111111,79.16666666666667
37,LOW,30BB.AX,48.379629629629626,3,59.02777777777778,50.0,36.111111111111114
38,LOW,USTB.AX,47.22222222222223,3,47.22222222222222,11.11111111111111,83.33333333333334
39,LOW,VMIN.AX,47.22222222222222,3,8.333333333333332,38.888888888888886,94.44444444444444
40,LOW,POU.AX,46.75925925925926,3,6.944444444444445,56.94444444444444,76.38888888888889
41,LOW,VACF.AX,45.833333333333336,3,69.44444444444444,44.44444444444444,23.611111111111114
42,LOW,IYLD.AX,44.444444444444436,3,55.55555555555556,63.888888888888886,13.888888888888886
43,LOW,VDCO.AX,43.51851851851851,3,27.77777777777778,34.72222222222222,68.05555555555556
44,LOW,28BB.AX,43.28703703703703,3,59.02777777777778,51.388888888888886,19.444444444444443
45,LOW,VEFI.AX,43.05555555555555,3,41.666666666666664,23.61111111111111,63.88888888888889
46,LOW,US10.AX,40.74074074074074,3,44.44444444444444,29.166666666666664,48.611111111111114
