horizon,feature,avg_correlation,significant_ratio,num_etfs
5,volatility,0.04254247945507435,0.0,5
5,momentum,-0.005454099609739114,0.0,5
10,volatility,0.025776191620351812,0.0,5
10,momentum,-0.025652333517309528,0.0,5
20,volatility,0.0465972318501432,0.0,5
20,momentum,-0.01332315431971875,0.0,5
40,volatility,0.017638996670724574,0.0,5
40,momentum,-0.04744237386710608,0.0,5
60,volatility,-0.005993315674817522,0.0,5
60,momentum,0.013808194935605807,0.0,5
