,0
2022-11-02,82201.98797617634
2022-11-03,82359.48881600528
2022-11-04,83978.34115905887
2022-11-07,84664.7650783313
2022-11-08,84814.05241418413
2022-11-09,83792.28538004615
2022-11-10,83584.86774996799
2022-11-11,84330.94911200141
2022-11-14,85312.8706598542
2022-11-15,85697.80381203232
2022-11-16,85446.17703180417
2022-11-17,84874.89140726108
2022-11-18,84990.86568233304
2022-11-21,84065.49004287914
2022-11-22,84659.73112135383
2022-11-23,84410.78091529444
2022-11-24,84393.46318021606
2022-11-25,84506.4458838648
2022-11-28,83794.95448863003
2022-11-29,85334.89542215923
2022-11-30,86216.12620920803
2022-12-01,86850.02687934974
2022-12-02,86035.29759719782
2022-12-05,86739.64757476567
2022-12-06,87056.42657758358
2022-12-07,87441.66949807004
2022-12-08,87312.4228840472
2022-12-09,87351.95898555982
2022-12-12,86878.83726987617
2022-12-13,86726.03984605694
2022-12-14,86799.45831055434
2022-12-15,86570.19231665446
2022-12-16,86925.08707295157
2022-12-19,87335.46512080707
2022-12-20,87070.30214725832
2022-12-21,86946.34424752537
2022-12-22,87219.22152108951
2022-12-23,86978.89430300237
2022-12-27,86978.89430300237
2022-12-28,87538.29192585031
2022-12-29,87708.1958436887
2022-12-30,87543.8068412523
2023-01-03,87571.35096792266
2023-01-04,88303.33323374191
2023-01-05,88903.89356246266
2023-01-06,90055.25437611651
2023-01-09,90101.18806116455
2023-01-10,90431.51316413062
2023-01-11,90702.89247012639
2023-01-12,90221.49029965822
2023-01-13,91033.99762638092
2023-01-16,91960.04925955927
2023-01-17,91489.54171647986
2023-01-18,91243.70240724272
2023-01-19,91820.43284725246
2023-01-20,92112.28370707587
2023-01-23,92320.19674295584
2023-01-24,92007.42795220228
2023-01-25,91942.25091558619
2023-01-26,91942.25091558619
2023-01-27,92686.39027927103
2023-01-30,92033.77493327635
2023-01-31,80585.73861235814
2023-02-01,80302.99430988613
2023-02-02,80605.42186178065
2023-02-03,79811.86338410851
2023-02-06,79218.93910613265
2023-02-07,79325.20643854403
2023-02-08,79162.7667277855
2023-02-09,79554.07423383009
2023-02-10,79784.20203251582
2023-02-13,79462.74913812749
2023-02-14,79525.4839659831
2023-02-15,79035.27665754243
2023-02-16,79460.05426752474
2023-02-17,79251.35523476612
2023-02-20,78896.77622580236
2023-02-21,79365.5601959529
2023-02-22,79096.00848445432
2023-02-23,78914.45260480243
2023-02-24,78293.00111320608
2023-02-27,77981.05589902423
2023-02-28,78478.5330582926
2023-03-01,79227.26007955051
2023-03-02,79264.80849694437
2023-03-03,79045.7240446039
