,0
2022-11-02,101648.50183559988
2022-11-03,102213.70758330794
2022-11-04,103838.56642114455
2022-11-07,104653.26093751681
2022-11-08,104707.8521037612
2022-11-09,103751.27791472146
2022-11-10,103623.20810987859
2022-11-11,103958.1753252294
2022-11-14,104927.45547521274
2022-11-15,105358.77630487861
2022-11-16,105156.42070999651
2022-11-17,104726.57545393749
2022-11-18,104825.58593718018
2022-11-21,103732.2777803195
2022-11-22,104305.33677860152
2022-11-23,103921.15325770537
2022-11-24,104203.60089731858
2022-11-25,104315.30369333559
2022-11-28,103590.66724325954
2022-11-29,105076.83696603785
2022-11-30,105981.94754385523
2022-12-01,106311.62258376824
2022-12-02,105544.20778933987
2022-12-05,106310.6756025092
2022-12-06,106377.66260851058
2022-12-07,106877.5488658977
2022-12-08,106958.33884157856
2022-12-09,107016.48305716252
2022-12-12,106727.8460198894
2022-12-13,106307.19240601585
2022-12-14,106321.07191298124
2022-12-15,106250.03688163379
2022-12-16,106676.07482619939
2022-12-19,107397.10214907225
2022-12-20,107290.34396654282
2022-12-21,107041.31665584992
2022-12-22,107377.79230996629
2022-12-23,107244.90239272619
2022-12-27,107244.90239272619
2022-12-28,107984.86313598922
2022-12-29,108494.50316408658
2022-12-30,108057.15031689813
2023-01-03,108326.29704868293
2023-01-04,108958.3619231543
2023-01-05,109646.84535162165
2023-01-06,110708.22522261225
2023-01-09,110802.65239658492
2023-01-10,111095.7439334139
2023-01-11,111168.77474396952
2023-01-12,110460.520858314
2023-01-13,111376.0086144431
2023-01-16,112188.23676711929
2023-01-17,111820.40392947008
2023-01-18,111561.6539005099
2023-01-19,112139.80601097137
2023-01-20,112540.17353762564
2023-01-23,112662.04697039706
2023-01-24,112295.65559743316
2023-01-25,112656.4287236798
2023-01-26,112656.4287236798
2023-01-27,113128.25527515293
2023-01-30,112475.32917914925
2023-01-31,100000.0
2023-02-01,99603.14632614353
2023-02-02,99718.96886137822
2023-02-03,98596.22019174404
2023-02-06,97839.81522885134
2023-02-07,97979.68158185834
2023-02-08,97689.02877669939
2023-02-09,98220.00897584595
2023-02-10,98651.67980503234
2023-02-13,98284.59865015585
2023-02-14,98277.14690915745
2023-02-15,97818.30308881837
2023-02-16,97911.68437683277
2023-02-17,97957.01935890314
2023-02-20,97803.42813881607
2023-02-21,98324.88227058781
2023-02-22,98134.94588258269
2023-02-23,97892.1152590076
2023-02-24,97368.03782550014
2023-02-27,96904.89009014769
2023-02-28,97430.75206885043
2023-03-01,98214.69004152599
2023-03-02,98359.58096173336
2023-03-03,97913.2868420062
2023-03-06,97512.39374751039
2023-03-07,97245.72466858901
2023-03-08,96991.264032463
2023-03-09,96990.9440778667
2023-03-10,96259.99104291495
2023-03-13,96506.71175880969
2023-03-14,95910.41902668854
2023-03-15,95577.46051166562
2023-03-16,94443.701812797
2023-03-17,94720.27421310381
2023-03-20,94187.98219094255
2023-03-21,93773.83604942549
2023-03-22,94304.80951609192
2023-03-23,95090.45899743223
2023-03-24,95131.6303117422
2023-03-27,94039.03111887565
2023-03-28,94312.90815704402
2023-03-29,94672.0537042662
2023-03-30,94525.35295543031
2023-03-31,95082.94616171147
2023-04-03,94081.85295491976
2023-04-04,93650.45560834576
2023-04-05,94360.79344929798
2023-04-06,93737.13529858674
2023-04-10,93737.13529858674
2023-04-11,94050.65654579342
2023-04-12,93848.3645875153
2023-04-13,94245.60110175681
2023-04-14,94277.27510625181
2023-04-17,94665.05938598412
2023-04-18,94846.02546742685
2023-04-19,94796.99205834576
2023-04-20,94490.68210344322
2023-04-21,94539.92828022935
2023-04-24,93841.56683474673
2023-04-25,93841.56683474673
2023-04-26,93343.74511494304
2023-04-27,93904.63110940627
2023-04-28,93879.61247944362
2023-05-01,100000.0
2023-05-02,100260.88094850953
2023-05-03,99568.47806843808
2023-05-04,100318.9994379984
2023-05-05,100924.40928960346
